damid,date,longitude,latitude,state,systemidx,watershed
SFKernRiver:130420:83,2013-04-20,-118.16787683381715,35.957539866233766,CA,00000000000000000180,SFKernRiver
SFKernRiver:130420:84,2013-04-20,-118.166360739459,35.95634036805039,CA,00000000000000000181,SFKernRiver
SFKernRiver:130420:85,2013-04-20,-118.16455034443128,35.955889998843986,CA,00000000000000000182,SFKernRiver
SFKernRiver:130420:86,2013-04-20,-118.1643363075807,35.95557786177025,CA,00000000000000000183,SFKernRiver
SFKernRiver:130420:87,2013-04-20,-118.16394836578904,35.955167624473326,CA,00000000000000000184,SFKernRiver
SFKernRiver:130420:88,2013-04-20,-118.16378783815114,35.95472171436799,CA,00000000000000000185,SFKernRiver
SFKernRiver:130420:89,2013-04-20,-118.16360501500795,35.954315936172115,CA,00000000000000000186,SFKernRiver
SFKernRiver:130420:90,2013-04-20,-118.19699922279719,35.95848965475815,CA,00000000000000000187,SFKernRiver
SFKernRiver:130420:91,2013-04-20,-118.1967405949361,35.95815076307808,CA,00000000000000000188,SFKernRiver
SFKernRiver:130420:92,2013-04-20,-118.19537165091269,35.95791443072225,CA,00000000000000000189,SFKernRiver
SFKernRiver:130420:93,2013-04-20,-118.1921610981542,35.95464145054902,CA,0000000000000000018a,SFKernRiver
SFKernRiver:130420:94,2013-04-20,-118.19171964714994,35.954324854374235,CA,0000000000000000018b,SFKernRiver
SFKernRiver:130420:95,2013-04-20,-118.19136737816669,35.953923535279415,CA,0000000000000000018c,SFKernRiver
SFKernRiver:130420:96,2013-04-20,-118.19076539952448,35.95309414248347,CA,0000000000000000018d,SFKernRiver
SFKernRiver:130420:97,2013-04-20,-118.18961941055376,35.95277308720763,CA,0000000000000000018e,SFKernRiver
SFKernRiver:130420:98,2013-04-20,-118.1785207080317,35.95010654477767,CA,0000000000000000018f,SFKernRiver
SFKernRiver:130420:99,2013-04-20,-118.1783690985959,35.94988804882605,CA,00000000000000000190,SFKernRiver
SFKernRiver:130420:100,2013-04-20,-118.1781862754527,35.94964725736916,CA,00000000000000000191,SFKernRiver
SFKernRiver:130420:101,2013-04-20,-118.17819073455375,35.949540238943875,CA,00000000000000000192,SFKernRiver
SFKernRiver:130420:102,2013-04-20,-118.17794102489476,35.94862166412687,CA,00000000000000000193,SFKernRiver
SFKernRiver:130420:103,2013-04-20,-118.17785630197473,35.947868076048834,CA,00000000000000000194,SFKernRiver
SFKernRiver:130420:104,2013-04-20,-118.17714730490725,35.94713232437501,CA,00000000000000000195,SFKernRiver
SFKernRiver:130420:105,2013-04-20,-118.17665234469032,35.94644562281279,CA,00000000000000000196,SFKernRiver
SFKernRiver:130420:106,2013-04-20,-118.17592551121862,35.94603538551588,CA,00000000000000000197,SFKernRiver
SFKernRiver:130420:107,2013-04-20,-118.17555986493225,35.945562720804205,CA,00000000000000000198,SFKernRiver
SFKernRiver:130420:108,2013-04-20,-118.17454318989205,35.94591053068637,CA,00000000000000000199,SFKernRiver
